Cyclone,Peak_Date,SST_Large,SST_Anom,SST_Submeso,MSLA_Large,MSLA_Anom,MSLA_Submeso,Category,Max_Wind_mph,Min_Pressure_mb,Z_SST,Z_MSLA,Z_V,COCI_A,COCI_B,COCI_C,COCI_D,COCI_A_Class,COCI_B_Class,COCI_C_Class,COCI_D_Class
FILIPO,2024-03-14,,0.1935724443710259,0.0253449575946536,,0.0013721565269999,0.0007705327776367,TS,70,990,2.228032464863677,0.803255276694591,-0.4732149905879598,0.8526909169901028,-1.4344508000908938,0.9987406088332162,1.515643870779134,Moderate,Suppressed,Moderate,Strong
NEVILLE,2024-03-21,,0.0351551851832079,0.0086215262811518,,0.0003680189499953,0.0006796880141251,4,130,948,0.6720741081618244,0.12509879443388333,1.0631131295400735,0.6200953440452605,0.8474849792630671,0.20014607323902792,0.39858645129785386,Moderate,Moderate,Moderate,Moderate
GAMANE,2024-03-27,,-0.0127112475672353,-0.0046132384087068,,-0.0017859285907995,-0.0012116438679642,2,100,970,0.20193482898607026,-1.329595781977544,0.29494906947605687,-0.27757062783847225,-0.33260254876931866,-1.119463438021765,-0.5638304764957368,Weak,Weak,Suppressed,Weak
HIDAYA,2024-05-03,,-0.0362461398217112,-0.0086620556689955,,-0.0003316245585718,0.0011368728943673,1,90,974,-0.029222511225288777,-0.347413928396158,0.03889438278805132,-0.11258068561113183,-0.014649041854565328,-0.30375674790098184,-0.1883182198107234,Weak,Weak,Weak,Weak
IALY,2024-05-21,,0.0037165882393709,-0.0021696114665272,,-0.0007356558223879,-7.585522528893983e-05,TS,70,989,0.36328737691463864,-0.6202813390653427,-0.4732149905879598,-0.24340298424622128,0.1216133953803079,-0.48533163694975134,-0.128496981075352,Weak,Moderate,Weak,Weak
KIRRILY,2024-01-25,,0.0146331113964699,0.0062423721118885,,0.0050387811302105,0.001518363043529,TS,70,982,0.47050836735154206,3.279554640076022,-0.4732149905879598,1.0922826722798682,-1.774586030764091,2.8941418554132006,1.8750315037137821,Strong,Suppressed,Extreme,Strong
LINCOLN,2024-02-16,,-0.3834365789603981,-0.0346768410325215,,-0.0014797151459185,-0.0011586720839437,TS,45,990,-3.4392920195252246,-1.1227908208278023,-1.1133517073079737,-1.8918115158870001,5.079202719187452,-1.4406243810413928,-2.2810414201765132,Suppressed,Extreme,Suppressed,Suppressed
MEGAN,2024-03-17,,0.0284069667073271,0.0164391965113438,,0.0068085050988975,0.0016512481282828,2,105,957,0.6057937862813155,4.4747591704724945,0.42297641282005966,1.8345097898579565,2.1489540647900744,3.943921093163455,2.540276478376905,Strong,Extreme,Extreme,Extreme
OLGA,2024-04-07,,-0.0090837106570385,-0.0006472520852136,,0.0022799819520477,0.0020437999700387,4,135,939,0.23756413098638646,1.4163661798775595,1.1911404728840762,0.9483569279160075,1.9700633325997878,1.2546296557622982,0.826965155431973,Moderate,Strong,Strong,Moderate
PAUL,2024-04-11,,9.238936018246262e-15,-7.751475020212872e-15,,4.47726991657278e-18,-6.06879945722951e-18,TS,60,993,0.32678342173259306,-0.12344726364571144,-0.7292696772759654,-0.1753111730630279,-0.14828689438655482,-0.06167374859997943,0.1016680790434408,Weak,Weak,Weak,Moderate
NAT,2024-02-06,,4.499155579702637e-16,-1.802672721941174e-15,,1.7199409247609194e-06,-8.850099295575661e-06,TS,50,993,0.3267834217325068,-0.12228568069737834,-0.9853243639639709,-0.26027554097628086,-0.2014966066175068,-0.06067153964384936,0.10224887051756423,Weak,Weak,Weak,Moderate
OSAI,2024-02-07,,-8.077192026674762e-16,-3.125817522666977e-15,,8.562677822870581e-06,-2.5177409121417377e-05,TS,60,993,0.3267834217324945,-0.11766435540279041,-0.7292696772759654,-0.17338353698208708,-0.15250419401451448,-0.05668427932281458,0.10455953316485203,Weak,Weak,Weak,Moderate
ANCHA,2024-10-02,,4.715241732338799e-15,-4.180334740135685e-15,,9.328877131995983e-18,-2.1045932368796664e-17,TS,60,954,0.3267834217325487,-0.12344726364570817,-0.7292696772759654,-0.1753111730630416,-0.14828689438652487,-0.061673748599982696,0.10166807904342026,Weak,Weak,Weak,Moderate
BHEKI,2024-11-17,,0.0008111945960632,0.0003338533832258,,2.7278517000872423e-05,2.828921432135185e-05,4,130,947,0.3347508933143676,-0.1050243865875882,1.0631131295400735,0.4309465454222843,0.24422526550461518,-0.04468539648313106,0.11486325336338969,Moderate,Moderate,Weak,Moderate
ROBYN,2024-11-28,,4.2132384567081206e-15,-6.178828830825025e-15,,3.6871875787306794e-18,-3.378114502278254e-17,TS,60,988,0.3267834217325437,-0.12344726364571197,-0.7292696772759654,-0.17531117306304456,-0.14828689438651846,-0.06167374859998666,0.10166807904341588,Weak,Weak,Weak,Moderate
CHIDO,2024-12-12,,0.1174874991899645,0.0167390772656443,,0.0014085996113557,0.0006792578942081,4,155,929,1.4807338000552,0.8278675553857073,1.7032498462600874,1.3372837339003316,3.932124903730555,0.9174435085530362,1.1543006777204536,Strong,Extreme,Moderate,Strong
