Cyclone,Peak_Date,SST_Large,SST_Anom,SST_Submeso,MSLA_Large,MSLA_Anom,MSLA_Submeso,Category,Max_Wind_mph,Min_Pressure_mb,Z_SST,Z_MSLA,Z_V,COCI_A,COCI_B,COCI_C,COCI_D,COCI_A_Class,COCI_B_Class,COCI_C_Class,COCI_D_Class,COCI_Scale_0_to_1,COCI_Score_100
PRAPIROON,2024-07-22,-0.3294751836392464,-0.0033280989709614,0.0052130573000944,0.0131870523797469,-0.0001893347429497,0.0003908057911063,TS,70,985,-0.38434427186014675,-0.33573491191831345,-0.4768934638160918,-0.3989908825315173,0.34340105617397404,-0.3564430884140412,-0.36003959188923007,Weak,Moderate,Weak,Weak,0.3450110295544535,34.50110295544535
MARIA,2024-08-08,0.047988799904111,0.0030766638299577,0.009135571537162,0.0121174327247619,4.713220752846686e-05,0.0002326680583711,1,80,969,0.6578678321961919,0.18677864798737098,-0.22211476396913862,0.20751057207147475,-0.1876084535833358,0.3874683502072339,0.42232324009178146,Moderate,Weak,Moderate,Moderate,0.4908772510476039,49.08772510476039
SON-TINH,2024-08-11,0.2090923659580212,-0.0093981779274834,-0.0091138145079099,0.0101328558059242,-0.0001376957443181,-0.0001693755100108,TS,45,992,-1.372095100065222,-0.2216298458598185,-1.1138402134334748,-0.9025217197861718,1.7751549339234003,-0.7117419881467356,-0.7968624729625202,Weak,Strong,Weak,Weak,0.22390968663401975,22.390968663401974
AMPIL,2024-08-16,0.0859944132763743,-0.003179173962561,-0.007490383446794,0.0133486409090378,-0.0001759198339904,-0.0002720439324155,4,130,944,-0.36011051782802,-0.3060924108332339,1.0517787352656274,0.12852526886812451,-0.7006980737375905,-0.32910477912921,-0.33310146433062693,Moderate,Weak,Weak,Weak,0.47188094420559434,47.18809442055944
JONGDARI,2024-08-19,-0.2998740880276713,0.0112061459789275,0.0050598224197269,-0.0018617121978601,5.012346803555067e-05,-0.0004006762753674,TS,40,999,1.9807341051127185,0.19338834195517962,-1.2412295633569514,0.3109642945703155,-2.6985850556586337,0.9548193002448471,1.087061223533949,Moderate,Suppressed,Moderate,Strong,0.5157583184972852,51.575831849728516
SHANSHAN,2024-08-27,-0.0362409856511583,-0.0031412876110494,-0.0072765969315446,-0.0026563468190152,3.979452522286293e-05,-8.36346994665671e-05,4,130,932,-0.3539454785671973,0.17056480290159837,1.0517787352656274,0.28946601986667614,-0.1928758951237199,-0.05288293423126803,-0.09169033783279948,Moderate,Weak,Weak,Weak,0.5105878905026905,51.05878905026905
YAGI,2024-09-04,-0.1652827867032833,-0.0037957267721858,0.0060338981442468,-0.0057800597989101,3.3744632850456115e-05,0.0005839801664273,4,145,922,-0.46043879241903185,0.15719654660125587,1.4339467850360572,0.37690151307276043,-0.4348332434775136,-0.10592359375310353,-0.151621122908888,Moderate,Weak,Weak,Weak,0.5316165045671201,53.161650456712
LEEPI,2024-09-05,0.1879794529588991,-0.006779745026141,-0.0117719710814888,0.0041519132034416,-9.91405460012897e-06,6.070197100153853e-06,TS,40,1002,-0.9460118010792249,0.06072532237949677,-1.2412295633569514,-0.7088386806855599,1.0988437494022767,-0.36815689417984726,-0.44264323934986405,Weak,Strong,Weak,Weak,0.2704912947513649,27.04912947513649
BEBINCA,2024-09-15,-0.0727975874492727,-0.0027631714894294,0.008756808994328,0.0046012337423815,0.0004199253234324,0.00135916765935,1,85,962,-0.29241670522454494,1.010527834524462,-0.09472541404566202,0.20779523841808498,-0.06802337405373257,0.455457668499775,0.35905556464995847,Moderate,Weak,Moderate,Moderate,0.4909457145344614,49.09457145344614
PULASAN,2024-09-17,-0.1840241855307312,-0.0080246295591805,-0.0086844521462674,-0.0010941865836791,-4.11538203431229e-05,-6.509766951615797e-05,1,75,995,-1.148585068632569,-0.008304202363744413,-0.3495041138926152,-0.5021311282963096,0.4043375595314401,-0.4940776719517409,-0.5784446354981567,Weak,Moderate,Weak,Weak,0.32020535461434446,32.02053546143445
UNNAMED,2024-09-20,-0.2867970077863155,-0.0031418316046615,0.0043882543822682,-0.0066206480160189,-0.0003797409525313,0.0014191831381615,TS,40,1002,-0.35403399967948246,-0.7564695058877806,-1.2412295633569514,-0.7839110229747382,1.378389781321618,-0.5850271025999938,-0.5552517527836316,Weak,Strong,Weak,Weak,0.2524360719233653,25.24360719233653
CIMARON,2024-09-24,-0.5017788453910157,-0.0076914276662673,-0.0576898273543929,0.0015316714761421,-8.458026728953394e-06,-0.0003927767081385,TS,40,1001,-1.0943649426602553,0.06394266122854701,-1.2412295633569514,-0.7572172815962199,1.2789905984547532,-0.42951041707520654,-0.5152111407158542,Weak,Strong,Weak,Weak,0.2588560321111749,25.88560321111749
JEBI,2024-10-01,-0.0751561249158605,-0.0012156618124923,-0.0024853045618908,0.001250008364316,-7.727154526847836e-05,-0.0002262878319389,1,80,976,-0.040598899229182535,-0.08811239961194385,-0.22211476396913862,-0.116942020936755,0.028588679762258054,-0.06787107257053825,-0.0643556494205632,Weak,Moderate,Weak,Weak,0.4128449999514464,41.28449999514464
KRATHON,2024-09-30,-0.3487007068157801,-0.0063836553597204,-0.0037251149401914,-0.0045985922525798,-0.0008001717895649,0.0011275813829012,4,145,927,-0.8815582908608687,-1.6854822618282193,1.4339467850360572,-0.3776979225510102,-3.6809995475857007,-1.3430009063884603,-1.283520276344544,Weak,Suppressed,Suppressed,Suppressed,0.3501320784706421,35.01320784706421
BARIJAT,2024-10-10,-0.3536297987325767,-0.0010560556700106,-0.005719699403418,-0.0026894408477107,8.989025506585062e-06,-4.490020839591902e-05,TS,45,988,-0.014627062527861173,0.10249486209643677,-1.1138402134334748,-0.34199080462163306,-0.09787068862539203,0.0525995026524628,0.0439338997842878,Weak,Weak,Moderate,Moderate,0.35871979468012416,35.87197946801241
TRAMI,2024-10-25,-0.3613788524320078,-0.0014255979309087,0.0003283872705426,0.0028830063519471,0.0003184604314453,0.0013337441089605,TS,70,978,-0.07476065829710286,0.7863240639323409,-0.4768934638160918,0.07822331393971539,-0.33933993723816347,0.4194915356489105,0.355781702817619,Moderate,Weak,Moderate,Moderate,0.45978310661025223,45.978310661025226
