Cyclone,Peak_Date,SST_Large,SST_Meso,SST_Submeso,MSLA_Large,MSLA_Meso,MSLA_Submeso,SST_Large_Std,SST_Meso_Std,SST_Submeso_Std,MSLA_Large_Std,MSLA_Meso_Std,MSLA_Submeso_Std,SST_Submeso_Grad_Avg
BUD,2024-07-25,0.1884316476854692,0.0014255913887809,0.0034131027928253,0.0085868396050836,-2.6518727710073555e-05,8.412021611802861e-05,-0.0581808471566467,-0.0359307127342053,-0.013182869764992,-0.0025088880048028,-0.0004499727885698,0.0003689649334387,0.0031165220893759897
CARLOTTA,2024-08-03,-0.0225505358255304,0.0035314760946437,0.0003501854955398,-0.0076816367359901,4.091834883997416e-05,0.0001866360916163,-0.1967721747178012,-0.0153314812866502,-0.0028258976775223,9.847934112339544e-05,-0.000216884259553,-0.0001186802670498,0.003021572855482314
DANIEL,2024-08-03,-0.7049208864265957,1.6375943383723032e-16,-2.3619149111139282e-17,-0.0130448613086771,-1.7931233654003956e-18,1.0265220000090364e-18,-0.0308401886017623,-0.1142865948531021,-0.0118497860316021,-0.0001880817208983,-0.0012890740918631,-0.0022742446752384,0.0024485784384559784
FABIO,2024-08-06,-0.2841303728569286,-0.0006540248347229,0.0061303628936368,-0.0099811436369106,9.124412429620864e-05,0.0001057330166777,-0.2226618559462005,-0.039119230394892,0.0150798236744299,6.972030072167207e-05,-0.0004266378880374,0.0005446330829485,0.003930001128861244
EMILIA,2024-08-07,-0.0176067729281115,0.0033974588080295,0.0008924170280526,-0.0075010979616553,1.563265336179757e-05,-1.2312044336530065e-05,-0.2799659233021963,-0.0075058264962399,0.015844133272053,0.0007941074763111,-0.0001532922034123,0.0004404515964164,0.003697645048881604
GILMA,2024-08-25,0.086304212405718,0.0028468589392768,0.0019349423428714,0.0073174328466683,3.072397321919132e-05,-3.646042514399876e-05,-0.1579822179927466,-0.0096986082140475,-0.0041766345574618,4.339474097408286e-05,1.798618778033924e-05,0.0006832461124026,0.0034718735624693505
HONE,2024-08-25,0.0517902300449506,3.049259980332126e-05,-3.783518696844342e-05,-0.0021355781007192,9.073001873382937e-07,-1.128908250203611e-06,-0.0489901072889042,-0.0137512788167054,-0.01134188066412,0.0064495449548252,0.0004517626200512,-0.0002982165356795,0.003665828405563946
HECTOR,2024-08-27,0.0277614458492578,0.0001858217163366,0.0007304398563435,-0.0015415778381861,3.756324929415476e-06,3.527597030360827e-06,-0.084090307519212,0.0130376110142722,0.0051975372574065,0.0022040821232585,0.0016069049244073,0.0018615154650357,0.003215597843576556
ILEANA,2024-09-14,-0.5731006519130339,-0.0158812192986447,-0.0093003631436352,0.0001069070673485,-0.0001737193306638,0.0012174428427064,0.0332680949869844,0.0243228340426404,-0.0408387597865024,0.0008939635672382,0.0015552992776842,0.0032509391758678,0.004567724829926151
JOHN,2024-09-24,-0.9192028163766288,-0.0148485138818761,0.0414621408946702,-0.0235044040947299,-0.0005679273413723,0.00073751483959,0.0198049143862151,0.1179441741623901,-0.0279119171585599,0.0001209941403645,-0.0003342161243346,0.0011476948930484,0.0007172053835408334
LANE,2024-11-02,-0.2249398034769427,1.0655455689705556e-16,1.1063628387496685e-17,-0.0108802022841657,-1.0315661088270909e-18,1.8912045328496666e-18,0.0020108076391267,0.0348817109833278,0.0781336341532289,-0.0011068132231804,-0.002047057572344,0.0035133741636223,0.002258170462865391
